Ticker,monthly_return,Month,Type
SBILIFE,3.1405519529482673,November 2023,Gainer
TITAN,2.3488263890003136,November 2023,Gainer
HDFCLIFE,1.7692560895325782,November 2023,Gainer
TRENT,1.6487793371859905,November 2023,Gainer
KOTAKBANK,1.2751091703056883,November 2023,Gainer
M&M,-2.617171852049671,November 2023,Loser
SUNPHARMA,-2.3852223816355878,November 2023,Loser
EICHERMOT,-1.8495078403049758,November 2023,Loser
ONGC,-1.4036016949152574,November 2023,Loser
BHARTIARTL,-1.2793522267206536,November 2023,Loser
ADANIENT,0.0,December 2023,Gainer
ADANIPORTS,0.0,December 2023,Gainer
APOLLOHOSP,0.0,December 2023,Gainer
ASIANPAINT,0.0,December 2023,Gainer
AXISBANK,0.0,December 2023,Gainer
ADANIENT,0.0,December 2023,Loser
ADANIPORTS,0.0,December 2023,Loser
APOLLOHOSP,0.0,December 2023,Loser
ASIANPAINT,0.0,December 2023,Loser
AXISBANK,0.0,December 2023,Loser
ADANIENT,0.0,January 2024,Gainer
ADANIPORTS,0.0,January 2024,Gainer
APOLLOHOSP,0.0,January 2024,Gainer
ASIANPAINT,0.0,January 2024,Gainer
AXISBANK,0.0,January 2024,Gainer
ADANIENT,0.0,January 2024,Loser
ADANIPORTS,0.0,January 2024,Loser
APOLLOHOSP,0.0,January 2024,Loser
ASIANPAINT,0.0,January 2024,Loser
AXISBANK,0.0,January 2024,Loser
ADANIENT,0.0,February 2024,Gainer
ADANIPORTS,0.0,February 2024,Gainer
APOLLOHOSP,0.0,February 2024,Gainer
ASIANPAINT,0.0,February 2024,Gainer
AXISBANK,0.0,February 2024,Gainer
ADANIENT,0.0,February 2024,Loser
ADANIPORTS,0.0,February 2024,Loser
APOLLOHOSP,0.0,February 2024,Loser
ASIANPAINT,0.0,February 2024,Loser
AXISBANK,0.0,February 2024,Loser
ADANIENT,0.0,March 2024,Gainer
ADANIPORTS,0.0,March 2024,Gainer
APOLLOHOSP,0.0,March 2024,Gainer
ASIANPAINT,0.0,March 2024,Gainer
AXISBANK,0.0,March 2024,Gainer
ADANIENT,0.0,March 2024,Loser
ADANIPORTS,0.0,March 2024,Loser
APOLLOHOSP,0.0,March 2024,Loser
ASIANPAINT,0.0,March 2024,Loser
AXISBANK,0.0,March 2024,Loser
ADANIENT,0.0,April 2024,Gainer
ADANIPORTS,0.0,April 2024,Gainer
APOLLOHOSP,0.0,April 2024,Gainer
ASIANPAINT,0.0,April 2024,Gainer
AXISBANK,0.0,April 2024,Gainer
ADANIENT,0.0,April 2024,Loser
ADANIPORTS,0.0,April 2024,Loser
APOLLOHOSP,0.0,April 2024,Loser
ASIANPAINT,0.0,April 2024,Loser
AXISBANK,0.0,April 2024,Loser
ADANIENT,0.0,May 2024,Gainer
ADANIPORTS,0.0,May 2024,Gainer
APOLLOHOSP,0.0,May 2024,Gainer
ASIANPAINT,0.0,May 2024,Gainer
AXISBANK,0.0,May 2024,Gainer
ADANIENT,0.0,May 2024,Loser
ADANIPORTS,0.0,May 2024,Loser
APOLLOHOSP,0.0,May 2024,Loser
ASIANPAINT,0.0,May 2024,Loser
AXISBANK,0.0,May 2024,Loser
ADANIENT,0.0,June 2024,Gainer
ADANIPORTS,0.0,June 2024,Gainer
APOLLOHOSP,0.0,June 2024,Gainer
ASIANPAINT,0.0,June 2024,Gainer
AXISBANK,0.0,June 2024,Gainer
ADANIENT,0.0,June 2024,Loser
ADANIPORTS,0.0,June 2024,Loser
APOLLOHOSP,0.0,June 2024,Loser
ASIANPAINT,0.0,June 2024,Loser
AXISBANK,0.0,June 2024,Loser
ADANIENT,0.0,July 2024,Gainer
ADANIPORTS,0.0,July 2024,Gainer
